date,tmin_C,tmean_C,tmax_C,rh_pct,precip_mm,wind_m_s,station_id
2020-01-01 00:00:00-05:00,16.98,22.6,26.05,71.3,5.0,2.19,IDEAM_Caucasia_001
2020-01-02 00:00:00-05:00,18.93,21.84,25.47,68.8,2.0,4.53,IDEAM_Caucasia_001
2020-01-03 00:00:00-05:00,18.63,22.78,26.17,76.3,6.0,3.33,IDEAM_Caucasia_001
2020-01-04 00:00:00-05:00,20.37,23.84,26.55,63.9,3.0,1.34,IDEAM_Caucasia_001
2020-01-05 00:00:00-05:00,17.39,21.74,25.87,72.8,6.0,3.15,IDEAM_Caucasia_001
2020-01-06 00:00:00-05:00,17.73,21.74,26.27,76.0,1.0,4.41,IDEAM_Caucasia_001
2020-01-07 00:00:00-05:00,20.44,23.93,28.39,72.8,5.0,3.4,IDEAM_Caucasia_001
2020-01-08 00:00:00-05:00,18.57,22.96,27.7,65.1,4.0,3.09,IDEAM_Caucasia_001
2020-01-09 00:00:00-05:00,16.05,21.49,25.78,83.8,4.0,2.47,IDEAM_Caucasia_001
2020-01-10 00:00:00-05:00,18.87,22.72,26.24,74.8,5.0,2.69,IDEAM_Caucasia_001
2020-01-11 00:00:00-05:00,16.95,21.52,26.28,82.6,2.0,2.81,IDEAM_Caucasia_001
2020-01-12 00:00:00-05:00,18.57,21.54,24.31,72.4,9.0,0.11,IDEAM_Caucasia_001
2020-01-13 00:00:00-05:00,19.17,22.4,25.59,68.6,6.0,3.31,IDEAM_Caucasia_001
2020-01-14 00:00:00-05:00,15.46,19.83,22.97,75.4,22.84,3.9,IDEAM_Caucasia_001
2020-01-15 00:00:00-05:00,14.89,20.08,25.05,72.4,2.0,1.98,IDEAM_Caucasia_001
2020-01-16 00:00:00-05:00,17.21,21.49,26.34,66.6,5.0,3.06,IDEAM_Caucasia_001
2020-01-17 00:00:00-05:00,17.23,20.98,25.41,82.4,6.0,3.19,IDEAM_Caucasia_001
2020-01-18 00:00:00-05:00,18.59,22.59,27.56,69.7,0.0,3.69,IDEAM_Caucasia_001
2020-01-19 00:00:00-05:00,18.15,21.15,24.36,62.4,3.0,2.81,IDEAM_Caucasia_001
2020-01-20 00:00:00-05:00,16.09,20.57,24.88,81.3,2.0,3.39,IDEAM_Caucasia_001
2020-01-21 00:00:00-05:00,19.34,24.05,27.94,70.2,4.0,1.52,IDEAM_Caucasia_001
2020-01-22 00:00:00-05:00,18.41,22.05,26.81,69.5,7.0,1.68,IDEAM_Caucasia_001
2020-01-23 00:00:00-05:00,18.8,22.43,26.32,62.5,3.0,3.27,IDEAM_Caucasia_001
2020-01-24 00:00:00-05:00,16.46,20.67,24.32,83.4,5.0,2.55,IDEAM_Caucasia_001
2020-01-25 00:00:00-05:00,18.11,21.76,26.24,65.2,3.0,1.06,IDEAM_Caucasia_001
2020-01-26 00:00:00-05:00,18.63,22.58,27.36,73.2,4.0,3.18,IDEAM_Caucasia_001
2020-01-27 00:00:00-05:00,15.42,21.1,24.49,78.2,8.0,1.4,IDEAM_Caucasia_001
2020-01-28 00:00:00-05:00,19.16,22.96,26.91,75.2,4.0,5.77,IDEAM_Caucasia_001
2020-01-29 00:00:00-05:00,18.11,21.83,24.88,72.2,6.0,0.41,IDEAM_Caucasia_001
2020-01-30 00:00:00-05:00,18.75,22.24,23.99,62.3,2.0,2.86,IDEAM_Caucasia_001
2020-01-31 00:00:00-05:00,17.31,21.9,26.08,67.6,2.0,1.57,IDEAM_Caucasia_001
2020-02-01 00:00:00-05:00,21.03,24.89,29.44,73.5,5.0,3.81,IDEAM_Caucasia_001
2020-02-02 00:00:00-05:00,19.21,22.69,26.93,67.6,2.0,2.36,IDEAM_Caucasia_001
2020-02-03 00:00:00-05:00,16.42,21.48,23.72,73.5,5.0,3.91,IDEAM_Caucasia_001
2020-02-04 00:00:00-05:00,18.64,23.78,27.46,76.3,4.0,3.64,IDEAM_Caucasia_001
2020-02-05 00:00:00-05:00,17.85,21.37,23.37,77.9,0.0,1.63,IDEAM_Caucasia_001
2020-02-06 00:00:00-05:00,20.63,23.13,28.36,64.7,3.0,2.0,IDEAM_Caucasia_001
2020-02-07 00:00:00-05:00,15.77,20.58,23.6,85.1,3.0,2.42,IDEAM_Caucasia_001
2020-02-08 00:00:00-05:00,17.93,21.38,26.51,76.5,0.0,2.73,IDEAM_Caucasia_001
2020-02-09 00:00:00-05:00,18.63,23.26,28.11,71.8,2.0,2.58,IDEAM_Caucasia_001
2020-02-10 00:00:00-05:00,21.54,23.96,27.15,78.3,2.0,3.6,IDEAM_Caucasia_001
2020-02-11 00:00:00-05:00,18.62,23.33,26.31,85.9,7.0,3.06,IDEAM_Caucasia_001
2020-02-12 00:00:00-05:00,20.01,23.04,27.35,63.0,4.0,2.13,IDEAM_Caucasia_001
2020-02-13 00:00:00-05:00,18.28,22.87,26.11,70.2,3.0,1.8,IDEAM_Caucasia_001
2020-02-14 00:00:00-05:00,17.5,21.51,25.6,57.2,1.0,1.9,IDEAM_Caucasia_001
2020-02-15 00:00:00-05:00,19.24,22.47,26.04,72.6,4.0,3.16,IDEAM_Caucasia_001
2020-02-16 00:00:00-05:00,19.17,22.84,25.24,73.6,4.0,2.59,IDEAM_Caucasia_001
2020-02-17 00:00:00-05:00,20.17,24.72,26.71,71.1,3.0,5.09,IDEAM_Caucasia_001
2020-02-18 00:00:00-05:00,19.83,23.92,28.12,67.3,4.0,2.8,IDEAM_Caucasia_001
2020-02-19 00:00:00-05:00,16.98,21.45,24.94,58.9,2.0,3.01,IDEAM_Caucasia_001
2020-02-20 00:00:00-05:00,18.43,24.01,27.51,73.4,3.0,0.82,IDEAM_Caucasia_001
2020-02-21 00:00:00-05:00,20.47,23.22,27.85,79.8,5.0,1.33,IDEAM_Caucasia_001
2020-02-22 00:00:00-05:00,17.64,22.93,27.99,67.5,4.0,1.57,IDEAM_Caucasia_001
2020-02-23 00:00:00-05:00,20.46,24.54,28.29,73.6,6.0,2.21,IDEAM_Caucasia_001
2020-02-24 00:00:00-05:00,21.82,25.11,28.8,61.5,33.95,1.17,IDEAM_Caucasia_001
2020-02-25 00:00:00-05:00,22.11,25.05,29.5,73.6,5.0,1.53,IDEAM_Caucasia_001
2020-02-26 00:00:00-05:00,19.14,22.99,25.77,68.5,3.0,3.53,IDEAM_Caucasia_001
2020-02-27 00:00:00-05:00,18.95,23.69,27.89,66.2,0.0,1.85,IDEAM_Caucasia_001
2020-02-28 00:00:00-05:00,20.63,24.52,29.02,66.2,4.0,2.75,IDEAM_Caucasia_001
2020-02-29 00:00:00-05:00,20.15,25.36,29.97,68.3,4.0,3.45,IDEAM_Caucasia_001
2020-03-01 00:00:00-05:00,20.84,23.68,25.94,73.0,5.0,3.84,IDEAM_Caucasia_001
2020-03-02 00:00:00-05:00,20.11,24.1,27.42,62.7,3.0,3.12,IDEAM_Caucasia_001
2020-03-03 00:00:00-05:00,20.07,23.07,26.28,68.2,2.0,3.19,IDEAM_Caucasia_001
2020-03-04 00:00:00-05:00,18.74,23.03,27.12,70.3,5.0,3.88,IDEAM_Caucasia_001
2020-03-05 00:00:00-05:00,20.8,25.51,29.94,63.9,5.0,3.26,IDEAM_Caucasia_001
2020-03-06 00:00:00-05:00,22.57,26.23,31.58,81.2,2.0,3.94,IDEAM_Caucasia_001
2020-03-07 00:00:00-05:00,22.67,24.59,28.14,65.3,4.0,0.44,IDEAM_Caucasia_001
2020-03-08 00:00:00-05:00,21.79,25.95,29.5,66.4,7.0,2.71,IDEAM_Caucasia_001
2020-03-09 00:00:00-05:00,20.9,25.25,30.28,64.5,5.0,2.86,IDEAM_Caucasia_001
2020-03-10 00:00:00-05:00,19.79,24.11,28.38,81.1,0.0,2.67,IDEAM_Caucasia_001
2020-03-11 00:00:00-05:00,20.4,25.39,30.53,73.6,3.0,2.94,IDEAM_Caucasia_001
2020-03-12 00:00:00-05:00,23.73,26.88,31.14,64.7,3.0,2.35,IDEAM_Caucasia_001
2020-03-13 00:00:00-05:00,20.52,25.06,28.02,76.9,4.0,3.67,IDEAM_Caucasia_001
2020-03-14 00:00:00-05:00,22.1,27.06,29.86,71.4,3.0,2.21,IDEAM_Caucasia_001
2020-03-15 00:00:00-05:00,19.53,22.11,24.71,71.7,2.0,2.56,IDEAM_Caucasia_001
2020-03-16 00:00:00-05:00,22.06,26.31,30.91,68.1,2.0,4.39,IDEAM_Caucasia_001
2020-03-17 00:00:00-05:00,21.91,25.51,30.58,65.7,4.0,4.23,IDEAM_Caucasia_001
2020-03-18 00:00:00-05:00,21.18,25.12,30.78,72.2,5.0,2.97,IDEAM_Caucasia_001
2020-03-19 00:00:00-05:00,21.39,25.66,30.42,66.8,2.0,2.1,IDEAM_Caucasia_001
2020-03-20 00:00:00-05:00,19.63,23.24,28.29,81.0,5.0,1.0,IDEAM_Caucasia_001
2020-03-21 00:00:00-05:00,21.98,25.44,28.92,62.5,4.0,2.66,IDEAM_Caucasia_001
2020-03-22 00:00:00-05:00,22.18,26.21,29.17,79.3,3.0,3.36,IDEAM_Caucasia_001
2020-03-23 00:00:00-05:00,24.5,27.63,32.4,69.4,6.0,2.01,IDEAM_Caucasia_001
2020-03-24 00:00:00-05:00,22.18,25.31,29.69,71.8,2.0,2.81,IDEAM_Caucasia_001
2020-03-25 00:00:00-05:00,20.5,25.04,29.14,75.0,5.0,2.42,IDEAM_Caucasia_001
2020-03-26 00:00:00-05:00,22.41,25.49,29.84,66.2,4.0,0.91,IDEAM_Caucasia_001
2020-03-27 00:00:00-05:00,22.73,27.26,31.56,75.2,1.0,2.93,IDEAM_Caucasia_001
2020-03-28 00:00:00-05:00,22.27,26.64,31.79,53.8,2.0,3.28,IDEAM_Caucasia_001
2020-03-29 00:00:00-05:00,23.07,25.69,30.85,65.7,4.0,2.98,IDEAM_Caucasia_001
2020-03-30 00:00:00-05:00,23.56,27.01,31.5,64.5,2.0,4.57,IDEAM_Caucasia_001
2020-03-31 00:00:00-05:00,21.64,26.59,31.35,62.5,6.0,2.45,IDEAM_Caucasia_001
2020-04-01 00:00:00-05:00,24.5,27.72,32.18,68.7,4.0,2.36,IDEAM_Caucasia_001
2020-04-02 00:00:00-05:00,22.16,25.79,29.37,72.3,5.0,5.18,IDEAM_Caucasia_001
2020-04-03 00:00:00-05:00,21.95,26.31,31.0,74.2,5.0,1.43,IDEAM_Caucasia_001
2020-04-04 00:00:00-05:00,21.69,26.31,29.06,71.5,4.0,2.12,IDEAM_Caucasia_001
2020-04-05 00:00:00-05:00,21.31,25.11,30.05,66.0,2.0,3.2,IDEAM_Caucasia_001
2020-04-06 00:00:00-05:00,23.77,27.29,30.22,72.2,1.0,4.04,IDEAM_Caucasia_001
2020-04-07 00:00:00-05:00,22.19,27.33,31.59,70.8,3.0,3.83,IDEAM_Caucasia_001
2020-04-08 00:00:00-05:00,21.71,27.1,30.34,75.7,2.0,1.66,IDEAM_Caucasia_001
2020-04-09 00:00:00-05:00,22.11,26.89,31.39,74.7,4.0,4.59,IDEAM_Caucasia_001
2020-04-10 00:00:00-05:00,21.48,25.55,29.52,70.3,4.0,3.31,IDEAM_Caucasia_001
2020-04-11 00:00:00-05:00,23.46,26.82,29.38,64.7,1.0,1.9,IDEAM_Caucasia_001
2020-04-12 00:00:00-05:00,23.65,26.99,31.37,66.2,5.0,1.99,IDEAM_Caucasia_001
2020-04-13 00:00:00-05:00,22.09,26.51,29.99,66.8,3.0,2.88,IDEAM_Caucasia_001
2020-04-14 00:00:00-05:00,23.02,27.36,32.15,68.2,2.0,5.17,IDEAM_Caucasia_001
2020-04-15 00:00:00-05:00,22.99,28.11,32.11,71.8,5.0,3.03,IDEAM_Caucasia_001
2020-04-16 00:00:00-05:00,25.44,29.96,34.32,74.5,1.0,5.16,IDEAM_Caucasia_001
2020-04-17 00:00:00-05:00,25.19,27.98,31.12,69.9,2.0,3.77,IDEAM_Caucasia_001
2020-04-18 00:00:00-05:00,23.32,28.16,31.63,70.3,2.0,1.41,IDEAM_Caucasia_001
2020-04-19 00:00:00-05:00,24.63,27.83,31.42,71.1,2.0,4.35,IDEAM_Caucasia_001
2020-04-20 00:00:00-05:00,22.0,25.69,30.46,67.2,2.0,1.76,IDEAM_Caucasia_001
2020-04-21 00:00:00-05:00,23.84,28.04,33.55,64.8,1.0,2.12,IDEAM_Caucasia_001
2020-04-22 00:00:00-05:00,22.62,28.21,31.49,59.8,0.0,3.1,IDEAM_Caucasia_001
2020-04-23 00:00:00-05:00,24.68,31.17,36.14,66.2,1.0,2.77,IDEAM_Caucasia_001
2020-04-24 00:00:00-05:00,23.57,28.05,30.1,73.2,3.0,3.78,IDEAM_Caucasia_001
2020-04-25 00:00:00-05:00,24.86,28.72,31.64,66.2,5.0,3.35,IDEAM_Caucasia_001
2020-04-26 00:00:00-05:00,23.96,28.38,31.52,69.1,3.0,2.67,IDEAM_Caucasia_001
2020-04-27 00:00:00-05:00,22.38,27.09,29.87,73.3,4.0,4.67,IDEAM_Caucasia_001
2020-04-28 00:00:00-05:00,26.19,29.93,32.51,73.7,0.0,2.28,IDEAM_Caucasia_001
2020-04-29 00:00:00-05:00,24.1,29.53,33.91,64.1,2.0,1.7,IDEAM_Caucasia_001
2020-04-30 00:00:00-05:00,25.46,29.65,33.46,76.6,3.0,3.31,IDEAM_Caucasia_001
2020-05-01 00:00:00-05:00,23.28,27.68,32.02,77.4,2.0,2.78,IDEAM_Caucasia_001
2020-05-02 00:00:00-05:00,25.98,30.52,35.14,63.9,3.0,3.07,IDEAM_Caucasia_001
2020-05-03 00:00:00-05:00,22.88,27.22,31.46,65.8,5.0,3.61,IDEAM_Caucasia_001
2020-05-04 00:00:00-05:00,25.0,29.67,34.26,78.0,3.0,2.6,IDEAM_Caucasia_001
2020-05-05 00:00:00-05:00,28.15,31.66,35.59,70.0,1.0,4.84,IDEAM_Caucasia_001
2020-05-06 00:00:00-05:00,24.35,27.9,30.84,57.6,2.0,3.09,IDEAM_Caucasia_001
2020-05-07 00:00:00-05:00,25.36,28.48,33.43,62.6,1.0,2.3,IDEAM_Caucasia_001
2020-05-08 00:00:00-05:00,24.99,29.34,32.81,69.5,2.0,3.45,IDEAM_Caucasia_001
2020-05-09 00:00:00-05:00,24.05,28.67,31.83,64.1,0.0,2.71,IDEAM_Caucasia_001
2020-05-10 00:00:00-05:00,23.11,27.48,31.32,68.6,1.0,2.92,IDEAM_Caucasia_001
2020-05-11 00:00:00-05:00,24.14,29.48,32.66,71.4,2.0,1.58,IDEAM_Caucasia_001
2020-05-12 00:00:00-05:00,24.19,28.18,31.81,80.0,0.0,1.71,IDEAM_Caucasia_001
2020-05-13 00:00:00-05:00,25.55,30.08,34.39,69.5,2.0,3.97,IDEAM_Caucasia_001
2020-05-14 00:00:00-05:00,25.34,28.47,32.78,77.8,1.0,1.44,IDEAM_Caucasia_001
2020-05-15 00:00:00-05:00,27.8,31.49,34.68,80.0,2.0,2.67,IDEAM_Caucasia_001
2020-05-16 00:00:00-05:00,24.19,28.74,32.3,80.1,1.0,3.16,IDEAM_Caucasia_001
2020-05-17 00:00:00-05:00,24.67,29.35,34.32,73.2,2.0,4.35,IDEAM_Caucasia_001
