date,tmin_C,tmean_C,tmax_C,rh_pct,precip_mm,wind_m_s,station_id
2020-01-01 00:00:00-05:00,16.72,20.84,23.12,83.1,4.0,2.01,MiraCielo_002
2020-01-02 00:00:00-05:00,16.52,21.19,24.51,75.9,5.0,5.43,MiraCielo_002
2020-01-03 00:00:00-05:00,20.71,23.86,28.03,74.8,4.0,1.58,MiraCielo_002
2020-01-04 00:00:00-05:00,18.06,22.55,26.46,78.7,3.0,2.41,MiraCielo_002
2020-01-05 00:00:00-05:00,17.24,21.98,26.65,83.1,2.0,4.83,MiraCielo_002
2020-01-06 00:00:00-05:00,18.45,21.9,26.58,73.2,2.0,4.1,MiraCielo_002
2020-01-07 00:00:00-05:00,18.89,22.18,26.49,81.9,2.0,2.41,MiraCielo_002
2020-01-08 00:00:00-05:00,19.66,22.34,27.02,74.7,0.0,3.55,MiraCielo_002
2020-01-09 00:00:00-05:00,16.54,22.2,26.65,78.0,7.0,1.61,MiraCielo_002
2020-01-10 00:00:00-05:00,20.99,24.4,27.93,70.5,5.0,1.91,MiraCielo_002
2020-01-11 00:00:00-05:00,16.42,21.55,25.55,72.5,3.0,2.4,MiraCielo_002
2020-01-12 00:00:00-05:00,18.47,22.3,25.32,80.5,5.0,4.37,MiraCielo_002
2020-01-13 00:00:00-05:00,17.28,22.16,27.5,62.1,5.0,0.48,MiraCielo_002
2020-01-14 00:00:00-05:00,18.79,23.26,26.13,78.0,3.0,3.77,MiraCielo_002
2020-01-15 00:00:00-05:00,15.64,21.32,23.44,76.0,2.0,2.36,MiraCielo_002
2020-01-16 00:00:00-05:00,16.57,21.73,27.64,83.6,5.0,3.48,MiraCielo_002
2020-01-17 00:00:00-05:00,16.21,20.38,24.29,79.6,1.0,3.44,MiraCielo_002
2020-01-18 00:00:00-05:00,19.15,23.4,28.2,74.5,6.0,2.77,MiraCielo_002
2020-01-19 00:00:00-05:00,15.87,20.41,25.07,65.8,4.0,1.97,MiraCielo_002
2020-01-20 00:00:00-05:00,16.77,22.91,27.85,69.8,2.0,2.07,MiraCielo_002
2020-01-21 00:00:00-05:00,20.25,24.31,28.84,71.9,4.0,2.46,MiraCielo_002
2020-01-22 00:00:00-05:00,21.66,24.63,29.17,82.1,3.0,1.01,MiraCielo_002
2020-01-23 00:00:00-05:00,17.78,21.98,23.87,77.9,3.0,2.9,MiraCielo_002
2020-01-24 00:00:00-05:00,18.48,21.96,25.1,68.2,1.0,2.02,MiraCielo_002
2020-01-25 00:00:00-05:00,18.15,22.32,23.96,75.3,4.0,2.29,MiraCielo_002
2020-01-26 00:00:00-05:00,18.6,23.52,26.79,70.1,1.0,2.57,MiraCielo_002
2020-01-27 00:00:00-05:00,17.91,22.32,25.84,68.9,2.0,3.63,MiraCielo_002
2020-01-28 00:00:00-05:00,18.66,22.18,26.08,76.5,4.0,4.16,MiraCielo_002
2020-01-29 00:00:00-05:00,20.0,23.84,26.98,71.7,3.0,4.31,MiraCielo_002
2020-01-30 00:00:00-05:00,19.49,22.64,26.32,65.5,3.0,3.25,MiraCielo_002
2020-01-31 00:00:00-05:00,17.42,22.44,25.98,77.4,4.0,2.37,MiraCielo_002
2020-02-01 00:00:00-05:00,16.96,21.61,25.92,73.3,5.0,1.36,MiraCielo_002
2020-02-02 00:00:00-05:00,20.81,23.94,28.62,70.1,7.0,5.48,MiraCielo_002
2020-02-03 00:00:00-05:00,17.03,23.04,27.24,81.2,9.0,4.76,MiraCielo_002
2020-02-04 00:00:00-05:00,18.95,22.78,27.34,78.6,7.0,3.78,MiraCielo_002
2020-02-05 00:00:00-05:00,16.36,20.6,24.77,72.8,7.0,3.52,MiraCielo_002
2020-02-06 00:00:00-05:00,20.3,24.03,29.09,61.8,3.0,2.41,MiraCielo_002
2020-02-07 00:00:00-05:00,17.23,21.57,27.24,78.6,2.0,2.94,MiraCielo_002
2020-02-08 00:00:00-05:00,19.44,23.52,25.32,69.0,6.0,3.81,MiraCielo_002
2020-02-09 00:00:00-05:00,19.21,22.09,27.11,70.9,3.0,0.72,MiraCielo_002
2020-02-10 00:00:00-05:00,16.85,21.79,24.63,69.9,1.0,2.13,MiraCielo_002
2020-02-11 00:00:00-05:00,20.9,24.24,28.41,63.9,6.0,2.81,MiraCielo_002
2020-02-12 00:00:00-05:00,18.56,23.3,27.53,74.3,4.0,0.68,MiraCielo_002
2020-02-13 00:00:00-05:00,19.46,23.28,27.83,66.5,6.0,1.16,MiraCielo_002
2020-02-14 00:00:00-05:00,21.57,25.62,29.58,73.9,5.0,2.08,MiraCielo_002
2020-02-15 00:00:00-05:00,21.27,25.66,29.65,65.8,5.0,2.89,MiraCielo_002
2020-02-16 00:00:00-05:00,18.99,23.1,27.41,68.7,3.0,4.46,MiraCielo_002
2020-02-17 00:00:00-05:00,17.29,21.88,25.57,73.5,4.0,2.31,MiraCielo_002
2020-02-18 00:00:00-05:00,21.77,25.2,27.49,72.0,7.0,4.87,MiraCielo_002
2020-02-19 00:00:00-05:00,17.12,21.95,25.95,74.9,2.0,2.0,MiraCielo_002
2020-02-20 00:00:00-05:00,21.02,24.19,27.52,75.3,3.0,2.66,MiraCielo_002
2020-02-21 00:00:00-05:00,20.09,23.36,26.61,79.1,2.0,1.17,MiraCielo_002
2020-02-22 00:00:00-05:00,19.37,23.84,27.0,71.0,32.05,2.32,MiraCielo_002
2020-02-23 00:00:00-05:00,20.44,25.28,27.5,78.2,1.0,0.71,MiraCielo_002
2020-02-24 00:00:00-05:00,18.7,22.92,26.56,69.0,2.0,6.52,MiraCielo_002
2020-02-25 00:00:00-05:00,18.01,23.2,27.2,75.6,3.0,1.65,MiraCielo_002
2020-02-26 00:00:00-05:00,21.57,24.91,29.6,77.6,5.0,3.19,MiraCielo_002
2020-02-27 00:00:00-05:00,23.14,26.21,29.68,77.5,7.0,2.28,MiraCielo_002
2020-02-28 00:00:00-05:00,22.42,27.09,32.51,62.0,6.0,2.54,MiraCielo_002
2020-02-29 00:00:00-05:00,18.35,22.45,26.98,51.8,6.0,2.72,MiraCielo_002
2020-03-01 00:00:00-05:00,19.11,23.75,26.75,74.0,3.0,3.84,MiraCielo_002
2020-03-02 00:00:00-05:00,19.91,23.09,26.65,70.6,2.0,3.36,MiraCielo_002
2020-03-03 00:00:00-05:00,21.76,25.41,31.23,72.3,4.0,3.07,MiraCielo_002
2020-03-04 00:00:00-05:00,19.14,24.54,29.22,71.1,5.0,3.44,MiraCielo_002
2020-03-05 00:00:00-05:00,21.75,25.59,29.11,68.5,2.0,3.21,MiraCielo_002
2020-03-06 00:00:00-05:00,18.99,24.13,28.93,73.9,5.0,1.4,MiraCielo_002
2020-03-07 00:00:00-05:00,20.89,25.51,28.38,72.5,2.0,2.53,MiraCielo_002
2020-03-08 00:00:00-05:00,20.76,24.53,28.03,69.8,1.0,3.55,MiraCielo_002
2020-03-09 00:00:00-05:00,19.86,24.99,26.89,70.5,4.0,2.15,MiraCielo_002
2020-03-10 00:00:00-05:00,19.93,24.2,28.74,74.0,3.0,3.19,MiraCielo_002
2020-03-11 00:00:00-05:00,22.58,26.59,29.54,66.7,2.0,4.01,MiraCielo_002
2020-03-12 00:00:00-05:00,19.58,23.52,27.44,63.6,3.0,2.04,MiraCielo_002
2020-03-13 00:00:00-05:00,20.62,24.97,27.58,63.5,3.0,3.92,MiraCielo_002
2020-03-14 00:00:00-05:00,24.22,27.32,31.5,67.2,3.0,2.68,MiraCielo_002
2020-03-15 00:00:00-05:00,22.07,26.78,30.72,79.1,2.0,2.88,MiraCielo_002
2020-03-16 00:00:00-05:00,19.96,24.32,26.99,71.0,3.0,3.73,MiraCielo_002
2020-03-17 00:00:00-05:00,20.91,24.45,28.02,66.1,8.0,3.45,MiraCielo_002
2020-03-18 00:00:00-05:00,23.11,26.1,30.22,71.3,6.0,0.0,MiraCielo_002
2020-03-19 00:00:00-05:00,22.53,26.33,30.73,63.8,1.0,0.78,MiraCielo_002
2020-03-20 00:00:00-05:00,22.86,27.06,32.48,69.0,3.0,3.38,MiraCielo_002
2020-03-21 00:00:00-05:00,19.89,24.01,29.11,67.6,3.0,2.64,MiraCielo_002
2020-03-22 00:00:00-05:00,23.24,27.36,30.74,62.1,2.0,1.04,MiraCielo_002
2020-03-23 00:00:00-05:00,20.24,24.78,28.14,76.6,2.0,2.07,MiraCielo_002
2020-03-24 00:00:00-05:00,24.46,27.54,30.25,67.8,2.0,0.93,MiraCielo_002
2020-03-25 00:00:00-05:00,20.13,24.07,27.17,69.8,8.0,2.68,MiraCielo_002
2020-03-26 00:00:00-05:00,20.51,24.75,29.53,74.2,3.0,4.18,MiraCielo_002
2020-03-27 00:00:00-05:00,23.86,28.23,30.8,72.1,2.0,2.01,MiraCielo_002
2020-03-28 00:00:00-05:00,23.66,28.37,32.24,70.5,5.0,3.07,MiraCielo_002
2020-03-29 00:00:00-05:00,22.6,26.44,30.17,68.6,3.0,2.69,MiraCielo_002
2020-03-30 00:00:00-05:00,21.96,26.0,29.32,74.4,3.0,4.56,MiraCielo_002
2020-03-31 00:00:00-05:00,23.05,26.46,29.28,70.0,3.0,4.2,MiraCielo_002
2020-04-01 00:00:00-05:00,22.74,27.05,29.35,70.9,1.0,1.05,MiraCielo_002
2020-04-02 00:00:00-05:00,23.93,27.24,30.07,76.7,2.0,2.59,MiraCielo_002
2020-04-03 00:00:00-05:00,21.9,26.35,30.28,77.0,2.0,1.83,MiraCielo_002
2020-04-04 00:00:00-05:00,19.52,24.46,29.0,71.6,6.0,2.14,MiraCielo_002
2020-04-05 00:00:00-05:00,21.84,26.21,31.66,70.6,3.0,3.66,MiraCielo_002
2020-04-06 00:00:00-05:00,20.05,25.07,29.37,74.0,1.0,3.01,MiraCielo_002
2020-04-07 00:00:00-05:00,24.3,27.94,32.47,68.5,2.0,3.65,MiraCielo_002
2020-04-08 00:00:00-05:00,24.5,27.54,32.98,68.5,2.0,0.28,MiraCielo_002
2020-04-09 00:00:00-05:00,23.17,27.04,31.34,69.7,1.0,3.82,MiraCielo_002
2020-04-10 00:00:00-05:00,23.44,26.95,31.83,64.0,1.0,3.27,MiraCielo_002
2020-04-11 00:00:00-05:00,26.08,29.68,33.34,84.3,3.0,4.57,MiraCielo_002
2020-04-12 00:00:00-05:00,26.55,28.77,33.42,67.7,4.0,2.13,MiraCielo_002
2020-04-13 00:00:00-05:00,23.58,27.72,31.91,72.9,1.0,3.98,MiraCielo_002
2020-04-14 00:00:00-05:00,22.89,26.9,30.69,70.0,5.0,3.12,MiraCielo_002
2020-04-15 00:00:00-05:00,24.5,29.17,34.57,74.3,5.0,2.95,MiraCielo_002
2020-04-16 00:00:00-05:00,23.39,27.83,30.75,67.9,1.0,2.26,MiraCielo_002
2020-04-17 00:00:00-05:00,23.14,27.0,30.22,71.5,1.0,2.7,MiraCielo_002
2020-04-18 00:00:00-05:00,22.41,27.14,32.2,65.1,2.0,1.72,MiraCielo_002
2020-04-19 00:00:00-05:00,24.01,28.72,33.59,77.5,0.0,2.36,MiraCielo_002
2020-04-20 00:00:00-05:00,25.53,29.14,33.15,74.3,2.0,2.15,MiraCielo_002
2020-04-21 00:00:00-05:00,24.67,28.83,33.14,61.8,2.0,2.49,MiraCielo_002
2020-04-22 00:00:00-05:00,23.72,28.93,33.39,70.4,4.0,2.6,MiraCielo_002
2020-04-23 00:00:00-05:00,23.59,27.85,32.18,62.0,1.0,2.63,MiraCielo_002
2020-04-24 00:00:00-05:00,24.29,27.63,31.85,65.6,2.0,2.79,MiraCielo_002
2020-04-25 00:00:00-05:00,25.43,28.53,31.78,76.0,4.0,2.78,MiraCielo_002
2020-04-26 00:00:00-05:00,25.5,28.33,33.44,55.6,4.0,2.92,MiraCielo_002
2020-04-27 00:00:00-05:00,24.93,27.29,31.11,76.8,3.0,2.77,MiraCielo_002
2020-04-28 00:00:00-05:00,24.91,28.52,31.63,72.8,0.0,2.5,MiraCielo_002
2020-04-29 00:00:00-05:00,25.6,29.46,33.58,70.1,0.0,3.27,MiraCielo_002
2020-04-30 00:00:00-05:00,25.01,28.23,32.54,75.9,1.0,4.13,MiraCielo_002
2020-05-01 00:00:00-05:00,27.22,30.67,35.03,86.9,0.0,2.43,MiraCielo_002
2020-05-02 00:00:00-05:00,24.09,27.33,32.21,62.7,1.0,2.21,MiraCielo_002
2020-05-03 00:00:00-05:00,25.17,27.91,31.57,80.9,1.0,3.21,MiraCielo_002
2020-05-04 00:00:00-05:00,24.41,28.28,32.22,76.6,3.0,2.92,MiraCielo_002
2020-05-05 00:00:00-05:00,25.48,30.02,33.26,66.6,0.0,1.74,MiraCielo_002
2020-05-06 00:00:00-05:00,25.76,29.35,33.56,74.1,2.0,1.97,MiraCielo_002
2020-05-07 00:00:00-05:00,23.18,28.09,31.32,64.3,1.0,2.15,MiraCielo_002
2020-05-08 00:00:00-05:00,22.85,26.97,30.44,68.1,2.0,1.66,MiraCielo_002
2020-05-09 00:00:00-05:00,23.14,27.85,32.74,58.4,1.0,3.28,MiraCielo_002
2020-05-10 00:00:00-05:00,23.21,27.24,31.36,63.0,2.0,3.64,MiraCielo_002
2020-05-11 00:00:00-05:00,25.91,30.45,35.73,73.5,1.0,1.91,MiraCielo_002
2020-05-12 00:00:00-05:00,25.32,28.19,33.25,74.1,1.0,1.3,MiraCielo_002
2020-05-13 00:00:00-05:00,25.66,30.33,34.53,74.0,2.0,2.99,MiraCielo_002
2020-05-14 00:00:00-05:00,26.22,30.22,34.54,75.2,3.0,2.83,MiraCielo_002
2020-05-15 00:00:00-05:00,26.18,31.06,34.84,72.1,2.0,5.33,MiraCielo_002
2020-05-16 00:00:00-05:00,25.03,28.83,33.77,75.5,1.0,3.53,MiraCielo_002
2020-05-17 00:00:00-05:00,24.83,30.22,34.55,78.0,1.0,1.56,MiraCielo_002
2020-05-18 00:00:00-05:00,25.51,29.94,34.76,73.1,1.0,1.75,MiraCielo_002
2020-05-19 00:00:00-05:00,26.72,29.99,33.41,69.0,3.0,3.15,MiraCielo_002
2020-05-20 00:00:00-05:00,24.97,29.87,32.65,70.8,7.0,2.74,MiraCielo_002
2020-05-21 00:00:00-05:00,27.8,30.96,35.41,66.8,3.0,2.68,MiraCielo_002
2020-05-22 00:00:00-05:00,27.76,30.87,35.51,77.0,1.0,2.87,MiraCielo_002
2020-05-23 00:00:00-05:00,25.01,30.04,34.11,62.3,1.0,3.65,MiraCielo_002
2020-05-24 00:00:00-05:00,25.27,29.54,34.06,71.0,2.0,4.84,MiraCielo_002
2020-05-25 00:00:00-05:00,25.39,29.45,32.68,75.5,1.0,4.26,MiraCielo_002
2020-05-26 00:00:00-05:00,26.63,30.22,35.07,66.0,2.0,1.68,MiraCielo_002
2020-05-27 00:00:00-05:00,25.83,30.49,35.55,63.8,1.0,2.21,MiraCielo_002
2020-05-28 00:00:00-05:00,26.38,30.16,35.08,58.6,1.0,0.21,MiraCielo_002
2020-05-29 00:00:00-05:00,24.6,28.76,32.87,70.6,2.0,3.03,MiraCielo_002
2020-05-30 00:00:00-05:00,26.89,29.98,35.05,65.6,1.0,2.22,MiraCielo_002
2020-05-31 00:00:00-05:00,25.8,29.76,32.73,77.7,1.0,2.78,MiraCielo_002
2020-06-01 00:00:00-05:00,26.31,30.45,34.96,63.3,0.0,1.89,MiraCielo_002
2020-06-02 00:00:00-05:00,29.08,33.51,38.15,75.8,0.0,1.88,MiraCielo_002
2020-06-03 00:00:00-05:00,26.75,31.02,35.47,64.9,0.0,1.11,MiraCielo_002
2020-06-04 00:00:00-05:00,28.32,32.05,35.2,63.7,2.0,2.45,MiraCielo_002
