Partición,Modelo Config,AIC,BIC,Ljung-Box (p-val),Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2
80-19,"ARIMA(2, 1, 2)",191.58025248017793,207.9708257763305,0.3677636740401464,7.697815821853513,4.931991469724326,35.82929150682382,0.83178409864262,41.021382173329975,35.17854438427276,192.19256737545524,-1.5301774378112611
80-19,"ARIMA(1, 1, 2)",189.65791065794338,202.77036929486545,0.3540273715214796,7.692247361140775,4.940958739312856,35.940445362815304,0.8320273792984327,41.16708592967902,35.32877516864741,192.83932650284888,-1.5481832217317741
80-19,"ARIMAX(2, 1, 1)",193.58642279710864,226.41846008448852,0.25482833722476694,8.156799297850691,5.040855694151045,34.582223730167286,0.8111262652953244,43.41187055689919,36.691747495079376,189.8444380546783,-1.8336577750706269
80-19,"ARIMA(2, 1, 1)",191.3960265677792,204.52884148273114,0.2796444851239366,7.685095139367941,4.992113449760629,35.65054915664959,0.8323395946655692,44.52125557540266,38.81930830271324,207.60504227570263,-1.9803358528252355
80-19,"ARIMA(1, 1, 1)",189.39590955921068,199.24552074542464,0.27965041392072904,7.685097647511203,4.992114413216296,35.65054953624561,0.8323394852286976,44.521274683097154,38.81932771381565,207.6051265700333,-1.9803384110351714
80-19,"ARIMAX(1, 1, 1)",190.69354618617749,220.24237974481937,0.13530095911907974,8.052416386281765,5.064155506872398,34.552851014164254,0.8159293851374326,46.10749556073815,39.726251969643585,202.01681139783528,-2.196490854177431
80-19,"ARIMA(0, 1, 1)",188.67164597623864,195.2380534337146,0.1771666316363266,7.619310212927804,5.013727606385093,36.26640526195016,0.8351976778741272,46.95352531166855,41.3477276314657,218.1652492941508,-2.314872356683038
80-19,"ARIMAX(1, 1, 2)",192.39051162444662,225.17165821675178,0.10960122448573562,7.895768271228992,5.007652667826672,34.842000857340096,0.8230213805182027,47.66865238531255,41.33303776854278,209.15740535261364,-2.4166158298857345
80-19,"ARIMAX(0, 1, 1)",190.2389245808819,216.5045544107858,0.14364442990426465,8.083538634443713,5.069793578184079,34.823503767591454,0.8145037852542626,49.91092968522951,42.99906556781059,213.65983110110048,-2.7456027820906757
80-19,"ARIMAX(1, 1, 0)",204.3707655013504,230.67690174690668,0.027952838769289556,7.734634460977162,4.929247866794273,35.48703155177512,0.8301710976527874,50.69588967012989,43.45936060691738,212.87328140070846,-2.8643450494081595
80-19,"ARIMA(1, 1, 0)",204.34246914178442,210.9190032031735,0.009670544260208198,7.6028205571829846,4.856803920863328,36.53001504401356,0.8359102339582769,51.91061237755773,46.48227755630397,239.19397657155534,-3.0517505925067434
80-19,"SARIMAX(1, 1, 0)(1, 1, 1, 52)",120.64661027859069,146.07955810129073,0.008071561833949609,10.91100511753127,7.28005695911759,51.23461259081098,0.6620429316787013,62.12637754069984,50.04406085548387,302.4539715255762,-4.803399433966309
80-19,"SARIMA(2, 1, 1)(1, 1, 1, 52)",102.33585177057526,117.5314487294948,6.254838387519583e-05,10.826934601457802,7.240272387002301,54.97369817242942,0.6672308616909467,62.52437777648108,48.881825061718565,305.73365064452923,-4.877994249400097
80-19,"SARIMAX(2, 1, 1)(1, 1, 1, 52)",124.00338289089373,154.3945768087328,0.0021699579369093528,10.923978949890643,7.261249297414781,52.148762582265675,0.661238751848231,62.5759263519661,49.89917438622675,307.2781864212243,-4.887690535776499
80-19,"SARIMAX(1, 1, 1)(1, 1, 1, 52)",122.98855846504102,150.84715288972683,0.0011643396786204837,10.952383872039412,7.224292941100531,50.00082037781036,0.659474743094123,63.256632320299325,50.80101241095222,308.03616371587,-5.01648078571101
80-19,"SARIMAX(1, 1, 2)(1, 1, 1, 52)",118.75912061085292,149.0205835354414,0.004346794348877379,10.433443006465835,6.930101523087669,50.64348836527704,0.6909794855597319,64.18494515842703,52.60174797003252,308.79301569523045,-5.1943643795551395
80-19,"SARIMA(1, 1, 1)(1, 1, 0, 52)",110.73913222017045,120.91231134925046,0.003023674002093938,11.376929669403408,7.153753214184983,49.8585868312708,0.6325636131545131,65.81899787145406,51.058082127872,321.90754364366313,-5.513777673151545
80-19,"SARIMA(1, 1, 0)(1, 1, 1, 52)",110.31802138582593,120.49120051490594,0.001998245094557515,11.266957211140205,7.182863567013609,50.00121927143141,0.6396327587255763,69.83965429351768,54.14667838446421,340.7339757162189,-6.3338928720603365
80-19,"SARIMA(1, 1, 1)(1, 1, 1, 52)",111.70179952768721,124.3647969934535,0.0024168466486387042,11.253320808632617,7.189819247654653,50.0230764235682,0.6405045360624892,70.02528604967874,54.28925654818634,341.5575201634099,-6.372931229633336
80-19,"SARIMAX(0, 1, 1)(1, 1, 1, 52)",125.0703724505094,150.39636738204194,0.01919167973587657,11.041126112715457,7.28232317251742,53.886925859052134,0.6539341411506557,71.74974412509009,57.96801386933301,339.78310302359955,-6.740537396767916
80-19,"SARIMA(1, 1, 2)(1, 1, 1, 52)",107.88040639003358,123.01113785232783,0.0013367635256255105,11.271170829468563,7.103581608149963,49.48105829926898,0.6393631679355531,73.28475436052268,56.94722616147087,355.944090623427,-7.075281544588263
80-19,"SARIMA(0, 1, 1)(1, 1, 1, 52)",113.38755832914988,123.51795630176291,0.003494316643375312,11.325551108130941,7.3641162754146965,51.940040109117504,0.6358748273140319,74.01664579304186,57.105249229014206,360.29053385437555,-7.237381889262037
80-19,"SARIMA(1, 1, 1)(0, 1, 1, 52)",108.60747818092634,118.73787615353936,0.0003261563522288146,12.170060978840379,7.482490687197921,53.048569296376655,0.5795469340306331,84.81190118822498,66.18639961117911,410.17580461758865,-9.815435143042185
90-9,"ARIMAX(1, 1, 0)",208.5242895000313,235.78166367171224,0.024484139778179037,8.462885338833228,5.491226903192113,33.30623537732601,0.8754639576676824,24.627574525159844,23.19911415074804,159.58188305150617,-3.4303874983445306
90-9,"ARIMAX(2, 1, 1)",196.41213178100176,230.43890559972456,0.18133605961550944,8.715461072486953,5.670775299134959,32.833306210939604,0.8679194461495517,25.71330055536964,24.231518986799166,168.6439262741898,-3.829632455963891
90-9,"ARIMAX(0, 1, 1)",191.99107211746514,219.21249117244338,0.19430797419362827,8.594716535335534,5.622410848394818,32.83841186959576,0.8715537996009858,26.839361786922904,25.275702998061014,176.87887837177146,-4.2619025177583865
90-9,"ARIMAX(1, 1, 2)",195.02450832510448,229.00613534028201,0.15109549117299997,8.690591124520063,5.655809765127422,32.94697722640578,0.868672165888041,27.18418734373812,25.685904134614645,178.82257839029347,-4.397978346307372
90-9,"ARIMAX(1, 1, 1)",193.68060397098333,224.30470040783385,0.1880602376237389,8.67372097226602,5.649040575522702,32.715830557111204,0.8691815374931846,27.29813936175981,25.739898958439102,180.04427057216193,-4.443328221463355
90-9,"ARIMA(1, 1, 0)",209.83973496439086,216.65407850731108,0.009783919400006615,8.449430293386467,5.499357818381848,34.421068250124584,0.8758596397555969,28.03555301335312,25.54460190303331,191.40050600499248,-4.741385171905519
90-9,"ARIMA(0, 1, 1)",193.5334983756272,200.33885313937176,0.1970647955947128,8.551844493136981,5.725530054640663,34.30318810246905,0.8728320306055884,29.074312852490014,26.657456077733944,197.8520372852892,-5.174721121443412
90-9,"ARIMA(1, 1, 1)",194.3785652429544,204.58659738857125,0.3026129169437076,8.635168150210594,5.7346292785424335,33.84216219843293,0.8703418728239387,30.33324595816624,27.993631240356688,205.69347658724323,-5.721035699801386
90-9,"ARIMA(2, 1, 1)",197.98009252602517,211.5908020535143,0.4386405116965466,8.596038028635773,5.639667825918638,33.81799072960234,0.8715142976949151,31.268347601798084,28.96490732356676,211.5701689514832,-6.141809990284465
90-9,"ARIMA(1, 1, 2)",194.22122832351303,207.81387912958405,0.40361577052180325,8.597642249275568,5.648258368250592,33.995356037538926,0.8714663363787347,31.622621343416064,29.32310015963956,213.7789547414527,-6.304561744740378
90-9,"ARIMA(2, 1, 2)",196.00904107640304,212.9998545839918,0.4332318701700952,8.578603982287019,5.618262490529993,33.82118101277825,0.8720349454930518,31.669151637000297,29.370004708734694,214.0733475385841,-6.3260737791250365
90-9,"SARIMA(1, 1, 1)(0, 1, 1, 52)",4547.3562257990625,4558.438964296925,0.09692523178653271,17.64104950039201,10.045580528329422,53.79139480652187,0.45886330651895646,38.38468987852095,28.968234847670583,255.29914300834804,-9.762533129532704
90-9,"SARIMA(1, 1, 0)(1, 1, 1, 52)",4119.197859673061,4130.314353645507,0.003514139506095054,13.085493009702544,8.357081801088276,47.749599586507934,0.702259217077265,41.464768453578834,32.7372919457236,286.31074667652643,-11.559053720245732
90-9,"SARIMA(1, 1, 1)(1, 1, 0, 52)",126.01128727491975,137.12778124736587,0.0017608562986176823,13.017659218879414,8.319227259397081,47.29817836676255,0.7053381284685453,41.990899727361935,33.239716558228686,289.6575692725657,-11.879790219802844
90-9,"SARIMA(2, 1, 1)(1, 1, 1, 52)",4756.526149969719,4773.150257716513,0.05283236488656422,13.141301989179047,8.514276806824299,48.5055117019403,0.6997141018509985,46.525784471483206,37.98762479365729,321.56374819948496,-14.81196476902176
90-9,"SARIMA(0, 1, 1)(1, 1, 1, 52)",5222.40324144243,5233.485979940293,0.050143225877195934,13.104837156782539,8.495091656298811,48.45899832656481,0.7013782722588785,46.569874692640916,38.02955864996681,321.88971660334806,-14.841947427477475
90-9,"SARIMA(1, 1, 1)(1, 1, 1, 52)",4793.707292033725,4807.560715156053,0.049884230553139765,13.119668844402456,8.510441341992621,48.58520614729706,0.70070194633819,46.68485128388112,38.14726708901708,322.6910389340578,-14.920268514794191
90-9,"SARIMAX(1, 1, 0)(1, 1, 1, 52)",4713.48004892076,4741.2712838518755,0.02093508199098373,13.263782373479737,8.981076650428248,50.168138757384106,0.6940905300284546,47.99848331322917,39.46223329296963,328.9185211345056,-15.82881196674392
90-9,"SARIMA(1, 1, 2)(1, 1, 1, 52)",2878.7770378956197,2895.3500815044063,0.09219248751736228,13.116007629774215,8.532481325590076,48.43746170016483,0.700868969077469,48.36281479102422,39.8642827870607,334.245672909257,-16.085259051363415
90-9,"SARIMAX(2, 1, 1)(1, 1, 1, 52)",5073.795387158154,5107.043602651742,0.18562752596117474,13.572308646428873,9.126712374168418,50.49935087428531,0.6796936112181091,54.24966789218977,45.79598460145014,371.0441499873272,-20.497729634499382
90-9,"SARIMAX(1, 1, 1)(1, 1, 1, 52)",4782.502488358611,4812.9800192277335,0.18316926897452512,13.544946743160912,9.119450026331352,50.71876497958394,0.6809837908487699,54.80477439250071,46.34923935939135,374.87204097745087,-20.939928987723913
90-9,"SARIMAX(0, 1, 1)(1, 1, 1, 52)",4741.379709433707,4769.086555678364,0.19547898185811008,13.579774936930978,9.1326972597678,50.86189104666299,0.6793411054790671,55.79201278412313,47.33929607579215,381.547714953404,-21.737488273475766
90-9,"SARIMAX(1, 1, 2)(1, 1, 1, 52)",4711.917150382451,4745.063237600024,0.23607554364894648,13.611279516658376,9.132216793403321,50.4340223276051,0.67785154587312,56.298927743472085,47.846312194057425,384.90132999694947,-22.152541744291703
95-5,"ARIMAX(1, 1, 0)",210.56095127699936,238.27160571720424,0.023356673351293693,8.393802957669395,5.516765059408583,32.46559798045459,0.8721150677952483,12.355329645861767,10.784767469045683,116.80995173899747,-1.2891353009038955
95-5,"ARIMAX(1, 1, 2)",196.69482683344904,231.24803798702607,0.15773043487952387,8.644800389519867,5.69167017434039,32.392983487539354,0.8643525053256996,12.975369394009888,11.167058031791486,122.39869426844282,-1.5246562239538988
95-5,"ARIMAX(1, 1, 1)",195.5358222654625,226.67209189275994,0.19802689186166134,8.562545370195785,5.670938270266056,32.09278642966865,0.8669215883035564,13.198967822820302,11.292478797270379,124.25165317380875,-1.6124183689747942
95-5,"ARIMAX(2, 1, 1)",197.60040392966033,232.1962590711019,0.209681151777648,8.60388773135046,5.688235541410752,32.090894100298854,0.865633406442907,13.213366036683201,11.299468883346758,124.30955606671252,-1.6181210382674411
95-5,"ARIMAX(0, 1, 1)",193.4859194503726,221.16260356352586,0.2044028062528947,8.576801221396487,5.663180490239651,32.06918013618865,0.8664780927680615,13.214005069240898,11.29033971793036,124.36437799093163,-1.618374282601347
95-5,"ARIMA(1, 1, 0)",212.34453847824568,219.2722020882969,0.009148371222409869,8.39969706252778,5.557836902301862,33.62458749510505,0.8719354038573097,15.168162818154919,12.983682281094262,144.7283238245581,-2.4500767164145247
95-5,"ARIMA(0, 1, 1)",195.73864904171148,202.6578200699998,0.22967594023125412,8.525384949362907,5.784026322776472,33.54870589670945,0.8680741705494528,15.714898723087591,13.52658869313723,149.8576975886869,-2.703274984666912
95-5,"ARIMA(2, 1, 1)",199.0058529798293,212.84419503640595,0.30413473420026815,8.603303137386776,5.80314960675038,33.25821561570049,0.8656516649868158,16.001544126104836,13.809811605972145,152.5427209680268,-2.839605238414016
95-5,"ARIMA(1, 1, 1)",197.005715642089,207.38447218452148,0.304220654379675,8.603525640795038,5.803175907401005,33.257433878885614,0.865644715714307,16.00246649228282,13.810719245609512,152.55135227131177,-2.8400478987037467
95-5,"ARIMA(1, 1, 2)",197.02488447729007,210.8461689387209,0.39135121633538644,8.58865213102791,5.74461615992733,33.46516304706144,0.8661088527173937,16.729671141338848,14.595713061708697,159.72634509386376,-3.1969867354082924
95-5,"ARIMA(2, 1, 2)",198.73286627052263,216.00947184731115,0.4383713159557298,8.560136637933471,5.710441576923975,33.26425319509737,0.8669964504298909,16.790193737805907,14.668489697861654,160.33733167334213,-3.2274083737592347
95-5,"SARIMA(1, 1, 1)(1, 1, 0, 52)",131.8435152721179,143.3747229624634,0.0018316049980373781,12.99434279392652,8.325765533994847,46.00857059889265,0.6935141163652879,39.4035592312201,32.678725434497146,366.75984377987936,-22.282718822974072
95-5,"SARIMA(1, 1, 2)(1, 1, 1, 52)",4839.271546493095,4856.476753195829,0.08948557693819773,13.389218813402776,8.618729379118042,48.10539891303077,0.6746039208231274,39.906721218274576,33.42419602637531,371.7430404849734,-22.88113055265586
95-5,"SARIMA(2, 1, 1)(1, 1, 1, 52)",4841.360787168425,4858.611971107633,0.05568518819561203,13.322482388487243,8.564150135104397,47.88804817305182,0.6778396064758567,40.16841640593495,33.68899125057692,374.24570328177913,-23.195366755877437
95-5,"SARIMA(1, 1, 1)(1, 1, 1, 52)",4529.093705796291,4543.469692412296,0.06433429081141581,13.381591224346499,8.569031885282614,47.62805162984213,0.674974559414665,40.28208746306996,33.795537385126224,375.30182911351466,-23.33249959136013
95-5,"SARIMA(0, 1, 1)(1, 1, 1, 52)",4598.83049031723,4610.3312796100345,0.06400500762016557,13.380332032991012,8.56627160096792,47.60843460909413,0.6750357255289741,40.292669888619194,33.8057612679497,375.40047324260854,-23.34528595397494
95-5,"SARIMA(1, 1, 0)(1, 1, 1, 52)",4958.588881563216,4970.120089253562,0.004141161923595025,13.272429303001026,8.409892478595147,46.790940778917886,0.6802557973767231,41.43337550122241,34.9327995419443,386.1412751599221,-24.74325273441661
95-5,"SARIMAX(0, 1, 1)(1, 1, 1, 52)",5967.01752358721,5995.769496819222,0.21439802622010365,13.069902163355964,8.650862822352472,46.84374419573598,0.6899394516708022,42.25571670947333,35.789803720936725,397.573402260478,-25.775262244248765
95-5,"SARIMAX(1, 1, 2)(1, 1, 1, 52)",5210.220964358929,5244.631377764396,0.24362658861975267,13.307274215088773,8.918951124612635,48.878122830135,0.6785747059127294,42.28313469175727,35.810533459616046,397.7962301485969,-25.810020231770853
95-5,"SARIMAX(1, 1, 1)(1, 1, 1, 52)",5965.585199823397,5997.212370378609,0.22541344105594294,12.991795337422934,8.61266349373345,46.58091702744311,0.6936342737196833,42.65208018924455,36.1773355824632,401.32290441743004,-26.279928182376867
95-5,"SARIMAX(2, 1, 1)(1, 1, 1, 52)",5966.886498019185,6001.388865897598,0.23194044200379113,13.012795667594999,8.609800166998097,46.30295926305256,0.6926430356163575,42.79558004734748,36.310733471117835,402.6618938646018,-26.46379968931042
95-5,"SARIMAX(1, 1, 0)(1, 1, 1, 52)",2826.5915732620997,2855.419592487963,0.03363278383575037,12.882420526862623,8.720894617706765,48.246886293389764,0.6987709991035833,45.133102075698545,38.63615410685218,424.8892027428465,-29.545916291290748
95-5,"SARIMA(1, 1, 1)(0, 1, 1, 52)",4798.752131497582,4810.252920790386,0.11007020594624557,17.48787145263841,10.091987606447177,52.49052710954576,0.444894229444767,54.33643109281906,48.67176161482203,497.26681079921,-43.273617455181004
