,fecha,nombre_completo,estado,temperatura,presion
0,2023-10-11 00:00:00,UdeA Yarumal,Habilitada,15.00000,778.59227
1,2023-10-11 00:01:00,UdeA Yarumal,Habilitada,15.00000,778.59227
2,2023-10-11 00:02:00,UdeA Yarumal,Habilitada,15.00000,778.52455
3,2023-10-11 00:03:00,UdeA Yarumal,Habilitada,15.00000,778.52455
4,2023-10-11 00:04:00,UdeA Yarumal,Habilitada,15.00000,778.49068
5,2023-10-11 00:05:00,UdeA Yarumal,Habilitada,15.00000,778.59227
6,2023-10-11 00:06:00,UdeA Yarumal,Habilitada,15.00000,778.55841
7,2023-10-11 00:07:00,UdeA Yarumal,Habilitada,15.00000,778.52455
8,2023-10-11 00:08:00,UdeA Yarumal,Habilitada,15.05556,778.55841
9,2023-10-11 00:09:00,UdeA Yarumal,Habilitada,15.00000,778.49068
10,2023-10-11 00:10:00,UdeA Yarumal,Habilitada,15.00000,778.52455
11,2023-10-11 00:11:00,UdeA Yarumal,Habilitada,15.05556,778.45682
12,2023-10-11 00:12:00,UdeA Yarumal,Habilitada,15.05556,778.52455
13,2023-10-11 00:13:00,UdeA Yarumal,Habilitada,15.05556,778.49068
14,2023-10-11 00:14:00,UdeA Yarumal,Habilitada,15.05556,778.49068
15,2023-10-11 00:15:00,UdeA Yarumal,Habilitada,15.05556,778.49068
16,2023-10-11 00:16:00,UdeA Yarumal,Habilitada,15.05556,778.45682
17,2023-10-11 00:17:00,UdeA Yarumal,Habilitada,15.00000,778.45682
18,2023-10-11 00:18:00,UdeA Yarumal,Habilitada,15.05556,778.35523
19,2023-10-11 00:19:00,UdeA Yarumal,Habilitada,15.05556,778.35523
20,2023-10-11 00:20:00,UdeA Yarumal,Habilitada,15.05556,778.35523
21,2023-10-11 00:21:00,UdeA Yarumal,Habilitada,15.05556,778.38909
22,2023-10-11 00:22:00,UdeA Yarumal,Habilitada,15.05556,778.35523
23,2023-10-11 00:23:00,UdeA Yarumal,Habilitada,15.05556,778.32136
24,2023-10-11 00:24:00,UdeA Yarumal,Habilitada,15.05556,778.35523
25,2023-10-11 00:25:00,UdeA Yarumal,Habilitada,15.05556,778.35523
26,2023-10-11 00:26:00,UdeA Yarumal,Habilitada,15.05556,778.28750
27,2023-10-11 00:27:00,UdeA Yarumal,Habilitada,15.05556,778.38909
28,2023-10-11 00:28:00,UdeA Yarumal,Habilitada,15.05556,778.25364
29,2023-10-11 00:29:00,UdeA Yarumal,Habilitada,15.05556,778.28750
30,2023-10-11 00:30:00,UdeA Yarumal,Habilitada,15.05556,778.21977
31,2023-10-11 00:31:00,UdeA Yarumal,Habilitada,15.05556,778.25364
32,2023-10-11 00:32:00,UdeA Yarumal,Habilitada,15.05556,778.18591
33,2023-10-11 00:33:00,UdeA Yarumal,Habilitada,15.05556,778.18591
34,2023-10-11 00:34:00,UdeA Yarumal,Habilitada,15.05556,778.08432
35,2023-10-11 00:35:00,UdeA Yarumal,Habilitada,15.05556,778.18591
36,2023-10-11 00:36:00,UdeA Yarumal,Habilitada,15.05556,778.15204
37,2023-10-11 00:37:00,UdeA Yarumal,Habilitada,15.00000,778.11818
38,2023-10-11 00:38:00,UdeA Yarumal,Habilitada,15.05556,778.11818
39,2023-10-11 00:39:00,UdeA Yarumal,Habilitada,15.05556,778.11818
40,2023-10-11 00:40:00,UdeA Yarumal,Habilitada,15.05556,778.11818
41,2023-10-11 00:41:00,UdeA Yarumal,Habilitada,15.00000,778.11818
42,2023-10-11 00:42:00,UdeA Yarumal,Habilitada,15.05556,778.11818
43,2023-10-11 00:43:00,UdeA Yarumal,Habilitada,15.05556,778.08432
44,2023-10-11 00:44:00,UdeA Yarumal,Habilitada,15.00000,778.08432
45,2023-10-11 00:45:00,UdeA Yarumal,Habilitada,15.00000,778.08432
46,2023-10-11 00:46:00,UdeA Yarumal,Habilitada,15.00000,778.11818
47,2023-10-11 00:47:00,UdeA Yarumal,Habilitada,15.05556,778.15204
48,2023-10-11 00:48:00,UdeA Yarumal,Habilitada,15.00000,778.05045
49,2023-10-11 00:49:00,UdeA Yarumal,Habilitada,15.00000,778.08432
50,2023-10-11 00:50:00,UdeA Yarumal,Habilitada,15.00000,778.05045
51,2023-10-11 00:51:00,UdeA Yarumal,Habilitada,15.00000,778.01659
52,2023-10-11 00:52:00,UdeA Yarumal,Habilitada,15.00000,778.01659
53,2023-10-11 00:53:00,UdeA Yarumal,Habilitada,14.94444,778.01659
54,2023-10-11 00:54:00,UdeA Yarumal,Habilitada,15.00000,778.01659
55,2023-10-11 00:55:00,UdeA Yarumal,Habilitada,15.00000,778.01659
56,2023-10-11 00:56:00,UdeA Yarumal,Habilitada,15.00000,778.01659
57,2023-10-11 00:57:00,UdeA Yarumal,Habilitada,15.00000,778.01659
58,2023-10-11 00:58:00,UdeA Yarumal,Habilitada,15.00000,777.98272
59,2023-10-11 00:59:00,UdeA Yarumal,Habilitada,15.00000,778.05045
60,2023-10-11 01:00:00,UdeA Yarumal,Habilitada,14.94444,777.94886
61,2023-10-11 01:01:00,UdeA Yarumal,Habilitada,14.94444,777.94886
62,2023-10-11 01:02:00,UdeA Yarumal,Habilitada,14.94444,777.98272
63,2023-10-11 01:03:00,UdeA Yarumal,Habilitada,15.00000,777.94886
64,2023-10-11 01:04:00,UdeA Yarumal,Habilitada,14.94444,777.91500
65,2023-10-11 01:05:00,UdeA Yarumal,Habilitada,14.94444,777.88113
66,2023-10-11 01:06:00,UdeA Yarumal,Habilitada,14.94444,777.88113
67,2023-10-11 01:07:00,UdeA Yarumal,Habilitada,14.94444,777.84727
68,2023-10-11 01:08:00,UdeA Yarumal,Habilitada,14.94444,777.84727
69,2023-10-11 01:09:00,UdeA Yarumal,Habilitada,14.94444,777.84727
70,2023-10-11 01:10:00,UdeA Yarumal,Habilitada,14.94444,777.74568
71,2023-10-11 01:11:00,UdeA Yarumal,Habilitada,14.94444,777.74568
72,2023-10-11 01:12:00,UdeA Yarumal,Habilitada,14.94444,777.81341
73,2023-10-11 01:13:00,UdeA Yarumal,Habilitada,14.94444,777.67795
74,2023-10-11 01:14:00,UdeA Yarumal,Habilitada,14.94444,777.64409
75,2023-10-11 01:15:00,UdeA Yarumal,Habilitada,14.94444,777.67795
76,2023-10-11 01:16:00,UdeA Yarumal,Habilitada,14.94444,777.57636
77,2023-10-11 01:17:00,UdeA Yarumal,Habilitada,14.94444,777.64409
78,2023-10-11 01:18:00,UdeA Yarumal,Habilitada,14.94444,777.54249
79,2023-10-11 01:19:00,UdeA Yarumal,Habilitada,14.94444,777.40704
80,2023-10-11 01:20:00,UdeA Yarumal,Habilitada,14.94444,777.47477
81,2023-10-11 01:21:00,UdeA Yarumal,Habilitada,14.94444,777.40704
82,2023-10-11 01:22:00,UdeA Yarumal,Habilitada,14.94444,777.40704
83,2023-10-11 01:23:00,UdeA Yarumal,Habilitada,15.00000,777.37317
84,2023-10-11 01:24:00,UdeA Yarumal,Habilitada,14.94444,777.33931
85,2023-10-11 01:25:00,UdeA Yarumal,Habilitada,15.00000,777.30545
86,2023-10-11 01:26:00,UdeA Yarumal,Habilitada,15.00000,777.30545
87,2023-10-11 01:27:00,UdeA Yarumal,Habilitada,15.00000,777.27158
88,2023-10-11 01:28:00,UdeA Yarumal,Habilitada,15.00000,777.30545
89,2023-10-11 01:29:00,UdeA Yarumal,Habilitada,15.00000,777.30545
90,2023-10-11 01:30:00,UdeA Yarumal,Habilitada,15.00000,777.27158
91,2023-10-11 01:31:00,UdeA Yarumal,Habilitada,15.00000,777.27158
92,2023-10-11 01:32:00,UdeA Yarumal,Habilitada,15.00000,777.23772
